#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,C1,C2
m,in,in
184.8612,13.0536,11.0658
185.0136,12.7584,11.0816
185.1660,12.8299,11.6349
185.3184,12.8330,11.9863
185.4708,12.7895,12.0709
185.6232,12.7957,11.8107
185.7756,12.7646,11.8358
185.9280,12.7303,11.9581
186.0804,12.7366,12.1618
186.2328,12.7303,12.1430
186.3852,12.7148,12.1555
186.5376,12.5715,12.2088
186.6900,12.6058,12.4214
186.8424,12.5902,12.2995
186.9948,12.7179,12.3621
187.1472,12.7304,12.3558
187.2996,12.9232,12.3933
187.4520,13.1808,12.3933
187.6044,13.1808,12.3933
187.7568,13.1870,12.3933
187.9092,13.1746,12.3746
188.0616,13.3232,13.0604
188.2140,13.3356,13.6333
188.3664,13.3294,13.5622
188.5188,13.3170,13.0603
188.6712,13.2861,12.2809
188.8236,13.3356,13.6086
188.9760,13.3325,13.5034
189.1284,13.2892,12.3745
189.2808,13.3170,12.2556
189.4332,13.3077,11.6568
189.5856,13.2427,11.4212
189.7380,13.2582,11.4181
189.8904,13.3356,11.7353
190.0428,13.2892,11.4055
190.1952,13.2242,11.4715
190.3476,13.2861,11.7448
190.5000,13.2427,11.6286
190.6524,13.2272,11.4840
190.8048,13.2210,11.2609
190.9572,13.2211,11.4998
191.1096,13.3294,11.6098
191.2620,13.3325,11.6694
191.4144,13.3325,11.5563
191.5668,13.2551,11.4306
191.7192,13.2025,11.3489
191.8716,13.2265,11.3869
192.0240,13.2136,11.3616
192.1764,13.2149,11.4008
192.3288,13.2304,11.5595
192.4812,13.3356,12.0239
192.6336,13.2954,11.9205
192.7860,13.3400,11.8923
192.9384,13.2303,11.6945
193.0908,13.2582,11.4023
193.2432,13.2211,11.3300
193.3956,13.2471,11.3236
193.5480,13.2334,11.2545
193.7004,13.2149,11.2388
193.8528,13.2334,11.3174
194.0052,13.3046,11.2923
194.1576,13.2056,11.3300
194.3100,13.2056,11.3300
194.4624,13.2087,11.3300
194.6148,13.2179,11.3332
194.7672,13.2056,11.3835
194.9196,13.2334,11.4306
195.0720,13.2334,11.4275
195.2244,13.2799,11.4212
195.3768,13.2396,11.3363
195.5292,13.2613,11.3300
195.6816,13.1808,11.1790
195.8340,13.2923,11.1067
195.9864,13.2799,11.1035
196.1388,13.2118,11.2262
196.2912,13.2451,11.3303
196.4436,13.2334,11.3300
196.5960,13.2458,11.3237
196.7484,13.2365,11.2766
196.9008,13.2657,11.2953
197.0532,13.2997,11.3677
197.2056,13.2923,11.3363
197.3580,13.2799,11.2766
197.5104,13.2977,11.2518
197.6628,13.2296,11.4874
197.8152,13.2334,11.8923
197.9676,13.2334,11.8828
198.1200,13.2087,11.4621
198.2724,13.1994,11.5878
198.4248,13.2149,11.6349
198.5772,13.2118,11.6380
198.7296,13.2211,11.6254
198.8820,13.2613,11.3426
199.0344,13.2954,11.3866
199.1868,13.3050,11.4289
199.3392,13.2923,11.3866
199.4916,13.2334,11.4338
199.6440,13.2365,11.4495
199.7964,13.3015,11.2640
199.9488,13.2303,11.2608
200.1012,13.2316,11.2953
200.2536,13.2285,11.2576
200.4060,13.2954,11.3300
200.5584,13.2365,11.1853
200.7108,13.2192,11.1506
200.8632,13.2334,11.1507
201.0156,13.2334,11.1476
201.1680,13.2056,11.0280
201.3204,13.1963,11.1759
201.4728,13.2285,11.2387
201.6252,13.2984,11.8012
201.7776,13.2055,11.3300
201.9300,13.2489,11.3489
202.0824,13.2892,11.1570
202.2348,13.2985,11.1822
202.3872,13.2923,11.1256
202.5396,13.2861,11.3018
202.6920,13.2954,11.6223
202.8444,13.2923,11.6066
202.9968,13.2737,11.1948
203.1492,13.2938,11.2168
203.3016,13.3059,11.1632
203.4540,13.3201,11.1979
203.6064,13.3245,11.2450
203.7588,13.2389,11.3492
203.9112,13.3170,11.8327
204.0636,13.3201,11.8608
204.2160,13.2923,11.5029
204.3684,13.2892,11.5092
204.5208,13.3132,11.4529
204.6732,13.3157,11.4967
204.8256,13.3201,11.4998
204.9780,13.3170,11.5469
205.1304,13.2427,11.1350
205.2828,13.2985,11.0311
205.4352,13.2985,11.1350
205.5876,13.2923,11.1035
205.7400,13.2892,11.1979
205.8924,13.2582,11.3552
206.0448,13.2334,11.4087
206.1972,13.2102,11.6035
206.3496,13.2241,11.6317
206.5020,13.2241,11.6318
206.6544,13.2242,11.7793
206.8068,13.2938,11.7307
206.9592,13.3201,11.9926
207.1116,13.3170,12.0020
207.2640,13.3170,11.9424
207.4164,13.2946,11.7401
207.5688,13.3170,11.7448
207.7212,13.3201,11.7416
207.8736,13.2923,11.6474
208.0260,13.2923,11.6757
208.1784,13.3170,11.4762
208.3308,13.3201,11.7385
208.4832,13.3232,11.6914
208.6356,13.3170,11.6883
208.7880,13.2799,11.5626
208.9404,13.2799,11.5375
209.0928,13.2845,11.5375
209.2452,13.2334,11.5344
209.3976,13.3077,12.1211
209.5500,13.2935,11.9958
209.7024,13.2272,11.9957
209.8548,13.2056,12.0083
210.0072,13.2056,12.0177
210.1596,13.2056,12.0146
210.3120,13.2985,12.2807
210.4644,13.2768,11.8547
210.6168,13.2241,12.5807
210.7692,13.1684,12.5526
210.9216,13.2474,11.8201
211.0740,13.2056,11.8891
211.2264,13.2043,11.8922
211.3788,13.1399,11.8388
211.5312,13.2402,11.9485
211.6836,13.2482,11.5848
211.8360,13.2644,11.8327
211.9884,13.2706,11.8436
212.1408,13.2427,11.8389
212.2932,13.2427,11.7825
212.4456,13.1715,12.5432
212.5980,13.2025,11.8860
212.7504,13.2068,11.8892
212.9028,13.2056,11.8829
213.0552,13.2056,11.8797
213.2076,13.3028,11.6097
213.3600,13.2365,11.7416
213.5124,13.2365,11.7856
213.6648,13.2396,11.7824
