#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,RHOB,PEF,DRHO
m,g/cm3,barns/e-,g/cm3
133.6548,1.8642,2.7706,0.0096
133.8072,1.8796,2.8753,0.0129
133.9596,1.9040,2.9531,0.0179
134.1120,1.9181,2.9387,0.0153
134.2644,1.9206,2.8194,0.0113
134.4168,1.9057,2.7259,0.0082
134.5692,1.8918,2.6876,0.0114
134.7216,1.8782,2.7793,0.0131
134.8740,1.8826,2.8114,0.0176
135.0264,1.8885,2.8138,0.0151
135.1788,1.8823,2.6721,0.0079
135.3312,1.8708,2.5833,0.0083
135.4836,1.8555,2.5822,0.0100
135.6360,1.8729,2.7051,0.0318
135.7884,1.8898,2.7760,0.0464
135.9408,1.9033,2.7738,0.0444
136.0932,1.9158,2.7125,0.0496
136.2456,1.9342,2.7333,0.0574
136.3980,1.9383,2.7387,0.0609
136.5504,1.9165,2.7576,0.0282
136.7028,1.9089,2.8095,0.0090
136.8552,1.9157,2.7676,0.0048
137.0076,1.9097,2.7118,-0.0021
137.1600,1.8902,2.5789,-0.0039
137.3124,1.8920,2.5677,0.0086
137.4648,1.8765,2.6532,0.0099
137.6172,1.9031,2.7950,0.0262
137.7696,1.8963,2.8871,0.0116
137.9220,1.9030,2.9152,0.0108
138.0744,1.9114,2.9487,0.0103
138.2268,1.9156,2.9407,0.0131
138.3792,1.9303,2.8981,0.0143
138.5316,1.9246,2.8482,0.0086
138.6840,1.9312,2.8681,0.0083
138.8364,1.9350,2.8869,0.0082
138.9888,1.9373,2.9419,0.0076
139.1412,1.9384,2.8937,0.0088
139.2936,1.9315,2.8970,0.0050
139.4460,1.9307,2.8822,0.0030
139.5984,1.9331,2.9593,0.0022
139.7508,1.9263,2.8398,-0.0007
139.9032,1.8910,2.6092,-0.0033
140.0556,1.8669,2.5020,0.0087
140.2080,1.8527,2.5813,0.0177
140.3604,1.9002,2.7909,0.0501
140.5128,1.9028,2.9203,0.0301
140.6652,1.9240,2.9652,0.0275
140.8176,1.9230,2.9609,0.0121
140.9700,1.9424,2.9024,0.0141
141.1224,1.9506,2.8567,0.0104
141.2748,1.9473,2.9310,0.0083
141.4272,1.9294,2.9414,0.0068
141.5796,1.9169,2.9498,0.0095
141.7320,1.9200,2.8695,0.0241
141.8844,1.9261,2.8837,0.0244
142.0368,1.9255,2.8775,0.0105
142.1892,1.9342,2.9152,0.0084
142.3416,1.9420,2.9150,0.0086
142.4940,1.9428,2.9630,0.0124
142.6464,1.9415,3.0242,0.0115
142.7988,1.9402,3.0971,0.0090
142.9512,1.9427,3.1106,0.0086
143.1036,1.9441,3.0780,0.0074
143.2560,1.9422,2.9363,0.0072
143.4084,1.9380,2.8040,0.0077
143.5608,1.9255,2.7754,0.0085
143.7132,1.9219,2.8743,0.0088
143.8656,1.9239,2.9612,0.0079
144.0180,1.9330,2.9763,0.0050
144.1704,1.9362,3.0059,0.0088
144.3228,1.9340,2.9428,0.0093
144.4752,1.9346,2.9374,0.0085
144.6276,1.9365,2.9346,0.0084
144.7800,1.9329,3.0570,0.0090
144.9324,1.9237,3.0284,0.0092
145.0848,1.9120,3.0279,0.0084
145.2372,1.9130,3.0217,0.0101
145.3896,1.9148,3.0865,0.0075
145.5420,1.9190,3.0820,0.0081
145.6944,1.9146,3.0560,0.0085
145.8468,1.9125,2.9679,0.0097
145.9992,1.9201,2.9905,0.0137
146.1516,1.9258,2.9810,0.0092
146.3040,1.9314,3.0408,0.0083
146.4564,1.9353,2.9780,0.0077
146.6088,1.9359,2.9981,0.0077
146.7612,1.9350,3.0317,0.0064
146.9136,1.9323,2.9977,0.0050
147.0660,1.9313,3.0300,0.0060
147.2184,1.9313,2.9675,0.0079
147.3708,1.9294,2.9654,0.0083
147.5232,1.9298,2.8966,0.0083
147.6756,1.9309,2.8308,0.0078
147.8280,1.9322,2.8408,0.0073
147.9804,1.9302,2.9270,0.0078
148.1328,1.9241,3.0203,0.0086
148.2852,1.9206,3.0874,0.0083
148.4376,1.9225,2.9414,0.0089
148.5900,1.9259,2.9190,0.0094
148.7424,1.9320,2.8524,0.0086
148.8948,1.9318,2.8575,0.0076
149.0472,1.9325,2.8849,0.0069
149.1996,1.9316,2.8812,0.0087
149.3520,1.9255,2.8719,0.0093
149.5044,1.9205,2.8010,0.0104
149.6568,1.9041,2.7888,0.0084
149.8092,1.9107,2.9108,0.0179
149.9616,1.9216,2.9533,0.0229
150.1140,1.9278,3.0285,0.0211
150.2664,1.9187,2.9735,0.0079
150.4188,1.9121,3.0003,0.0084
150.5712,1.9131,2.9197,0.0086
150.7236,1.9134,2.9229,0.0090
150.8760,1.9174,2.8337,0.0145
151.0284,1.9152,2.8907,0.0154
151.1808,1.9074,2.8105,0.0079
151.3332,1.9113,2.8554,0.0082
151.4856,1.8979,2.8174,0.0083
151.6380,1.8982,2.9622,0.0169
151.7904,1.8994,2.9452,0.0221
151.9428,1.9205,2.8983,0.0299
152.0952,1.9133,2.7080,0.0185
152.2476,1.8893,2.6754,0.0149
152.4000,1.8877,2.6887,0.0314
152.5524,1.8992,2.8139,0.0586
152.7048,1.9436,2.8900,0.0889
152.8572,1.9449,2.9494,0.0728
153.0096,1.9304,2.9596,0.0394
153.1620,1.9048,2.9487,0.0083
153.3144,1.9020,2.5887,0.0072
153.4668,1.8910,2.3086,0.0040
153.6192,1.8254,2.1740,-0.0027
153.7716,1.7958,2.2045,0.0236
153.9240,1.8125,2.3299,0.0646
154.0764,1.8259,2.4701,0.0792
154.2288,1.8373,2.6829,0.0670
154.3812,1.8426,2.6989,0.0397
154.5336,1.9067,2.6252,0.0465
154.6860,1.9230,2.6560,0.0332
154.8384,1.9265,2.8328,0.0331
154.9908,1.9195,3.0105,0.0192
155.1432,1.9234,3.0129,0.0097
155.2956,1.9251,3.0148,0.0086
155.4480,1.9263,2.9471,0.0108
155.6004,1.9204,2.9843,0.0084
155.7528,1.9213,2.9461,0.0096
155.9052,1.9184,2.9880,0.0085
156.0576,1.9188,2.9709,0.0106
156.2100,1.9205,3.0470,0.0104
156.3624,1.9275,3.0310,0.0110
156.5148,1.9322,3.0320,0.0091
156.6672,1.9309,2.9706,0.0090
156.8196,1.9276,2.9278,0.0085
156.9720,1.9223,2.9402,0.0051
157.1244,1.9231,2.9460,0.0064
157.2768,1.9202,2.9581,0.0093
157.4292,1.9175,2.8916,0.0081
157.5816,1.9164,2.9321,0.0076
