#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg,,
120.7008,0.3026,0.0195,0.0787,0.3133,5.2878,19.6442,163.1318,337.2523,174.1885
120.8532,0.3027,0.0142,0.0786,0.3132,5.2883,19.6409,163.7214,337.7222,174.0667
121.0056,0.3032,0.0025,0.0786,0.3132,5.2870,19.6335,167.0350,341.0508,174.0694
121.1580,0.3024,0.0230,0.0785,0.3132,5.2884,19.6289,164.4947,338.5038,174.0721
121.3104,0.3025,0.0213,0.0782,0.3132,5.2932,19.6259,161.6085,335.6008,174.0658
121.4628,0.3031,0.0035,0.0782,0.3132,5.3038,19.6313,166.0112,339.9836,174.0301
121.6152,0.3036,0.0007,0.0781,0.3132,5.3009,19.6249,166.8520,340.7991,174.0016
121.7676,0.3024,-0.0258,0.0781,0.3131,5.3016,19.6214,168.6702,342.6718,174.0491
121.9200,0.2986,-0.0518,0.0776,0.3131,5.3027,19.6186,176.9360,350.8781,173.9553
122.0724,0.2995,-0.0461,0.0778,0.3131,5.3085,19.6189,176.5051,350.4217,173.9316
122.2248,0.3022,-0.0232,0.0779,0.3131,5.3078,19.6103,174.1718,348.0542,173.9074
122.3772,0.3027,-0.0154,0.0778,0.3131,5.3139,19.6081,170.6519,344.4664,173.8541
122.5296,0.3031,-0.0108,0.0777,0.3131,5.3191,19.6059,169.3006,343.1302,173.8748
122.6820,0.3011,0.0370,0.0781,0.3131,5.3233,19.6055,164.9630,338.8227,173.9219
122.8344,0.3010,0.0378,0.0781,0.3131,5.3296,19.6064,158.8448,332.7670,174.0058
122.9868,0.3021,0.0240,0.0780,0.3131,5.3381,19.6104,162.2662,336.2625,174.0687
123.1392,0.3021,0.0243,0.0781,0.3132,5.3361,19.6040,162.4921,336.5345,174.1139
123.2916,0.3026,0.0191,0.0780,0.3132,5.3358,19.6012,162.8319,336.9791,174.2175
123.4440,0.3024,0.0271,0.0780,0.3132,5.3401,19.6034,161.6958,335.9498,174.3284
