#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,237.134399
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
26.0604,13.0213,7.8078,1.5661,0.5890,0.1451,22.2683,9.3216,0.5179,0.5179,0.5179
26.2128,14.3683,7.4904,1.5254,0.7770,0.1347,24.3524,9.8446,4.6632,0.5182,0.5181
26.3652,16.4102,7.9573,1.6524,0.9549,0.1368,27.4186,11.3813,2.0693,1.5520,1.0347
26.5176,15.8589,8.0233,1.6524,0.8852,0.1406,30.5382,12.4223,3.1056,0.5176,3.1055
26.6700,16.0198,9.6805,1.8904,0.7162,0.1901,23.8096,8.7993,3.1056,0.5176,0.0000
26.8224,16.3054,11.4138,2.0990,0.5526,0.2498,26.4250,16.0622,2.5906,1.0363,1.5544
26.9748,17.0632,12.0664,2.1671,0.5645,0.2743,37.2863,14.5002,1.0357,1.5536,0.5179
27.1272,16.9579,11.3870,2.0050,0.6294,0.2668,30.5224,10.3467,0.5174,1.0347,0.5173
27.2796,15.7323,9.9544,1.6776,0.6527,0.2481,25.0126,16.0079,4.0020,1.0005,0.0000
27.4320,16.1479,10.0142,1.6497,0.6929,0.2571,29.5184,12.4288,1.5536,0.0000,0.5179
27.5844,16.8841,10.6462,1.7426,0.7047,0.2755,30.0364,12.9466,3.6250,0.5179,0.0000
27.7368,17.4212,10.7902,1.8281,0.7491,0.2670,38.3022,11.9048,2.5880,0.5176,0.0000
27.8892,17.7582,11.2496,1.8916,0.7353,0.2812,31.0720,13.9824,3.1072,0.5179,0.5179
28.0416,17.8340,10.9156,1.8011,0.7816,0.2797,32.5326,14.5144,2.5026,0.5005,1.5015
28.1940,17.0311,10.1780,1.6364,0.7742,0.2693,36.2506,9.8394,6.7322,0.0000,1.5536
28.3464,16.8402,9.6742,1.5213,0.8096,0.2627,29.9742,8.7856,2.5840,0.0000,1.0336
28.4988,15.7474,9.5833,1.4595,0.6964,0.2696,30.0362,15.0181,3.6251,1.0357,0.5179
28.6512,16.8999,11.6573,1.6503,0.5923,0.3527,27.5415,14.5217,3.0045,1.5022,0.0000
28.8036,16.6504,12.8167,1.7426,0.4331,0.4020,39.3170,11.3813,4.1387,0.0000,0.5173
28.9560,17.7584,14.2949,1.8878,0.3913,0.4593,30.5385,12.4223,7.2463,0.0000,0.0000
29.1084,17.9579,14.4846,1.9999,0.3924,0.4482,43.9958,8.2816,3.1056,1.0352,0.5176
29.2608,18.7155,15.1951,2.1883,0.3977,0.4523,40.5607,11.5174,2.0030,0.5008,1.5022
29.4132,18.3377,15.0132,2.2888,0.3756,0.4219,35.7143,14.4928,3.1056,1.0352,0.5176
29.5656,18.7829,15.2747,2.3411,0.3963,0.4268,34.6432,14.9948,2.0682,0.0000,0.5171
29.7180,18.7787,14.5008,2.2469,0.4833,0.4003,36.7304,17.0719,3.6213,0.5173,2.0693
29.8704,19.0105,13.8056,2.1262,0.5880,0.3837,34.0341,16.5165,3.0030,1.0010,0.0000
30.0228,19.6545,13.9926,2.1823,0.6396,0.3835,35.7331,15.0180,2.0716,0.0000,1.0357
30.1752,19.0809,14.2547,2.1955,0.5452,0.3962,45.5451,11.5116,6.0060,1.0010,1.5015
30.3276,18.5419,14.4662,2.2328,0.4604,0.4011,30.0052,15.0025,5.6906,0.0000,0.5173
30.4800,17.6912,13.9042,2.2090,0.4278,0.3731,31.5158,13.0068,4.0020,1.0005,0.5003
30.6324,18.0823,13.3852,2.2125,0.5306,0.3422,32.5918,21.2102,3.6213,0.0001,0.5174
30.7848,18.5280,13.2052,2.2270,0.6013,0.3288,33.1434,10.8753,3.1072,2.5893,2.0714
30.9372,18.8017,13.2625,2.2144,0.6258,0.3346,32.1079,15.5360,3.1071,0.5179,1.0357
31.0896,17.8859,12.6270,2.1014,0.5941,0.3200,39.4800,16.4915,1.4993,0.4998,0.9995
31.2420,17.4207,11.6830,1.9739,0.6482,0.2902,31.5735,9.3168,2.0704,0.5176,0.0000
31.3944,16.9372,11.1682,1.9057,0.6517,0.2737,31.0561,9.8344,3.6232,0.5176,1.0352
31.5468,18.7001,12.3378,2.0651,0.7188,0.3103,37.7846,11.3873,3.6232,0.0000,0.5176
31.6992,18.9330,12.6437,2.0859,0.7105,0.3240,36.7303,14.4852,4.1387,1.0346,1.5520
31.8516,18.7054,11.7693,1.9649,0.7836,0.2970,31.0156,12.0060,4.5022,0.5003,0.5003
32.0040,19.3141,11.5000,1.9859,0.8828,0.2772,33.6441,12.4225,3.6232,0.5176,0.5176
32.1564,20.7900,12.2192,2.2195,0.9683,0.2729,41.3863,16.0374,3.6213,1.0347,1.0346
32.3088,21.1831,12.8863,2.3677,0.9373,0.2824,36.2320,21.7388,2.0704,1.0352,0.0000
32.4612,20.7348,12.8485,2.3895,0.8909,0.2759,40.9325,9.8448,3.1088,0.0000,1.0363
32.6136,20.8232,12.7500,2.3358,0.9121,0.2808,37.2286,16.5459,3.6195,1.0342,1.0341
32.7660,21.3673,12.4553,2.2893,1.0068,0.2728,39.8136,13.4439,5.6876,2.0682,1.0341
32.9184,22.3915,12.3242,2.3075,1.1373,0.2616,30.5544,21.2324,3.6251,1.5536,1.0357
33.0708,20.3709,10.7482,2.0744,1.0871,0.2159,41.0818,18.5368,4.5090,0.0000,1.5030
33.2232,19.7855,9.7986,1.9460,1.1282,0.1860,28.4240,8.2688,5.1679,0.5168,0.0000
33.3756,20.9198,8.8626,1.9034,1.3621,0.1399,37.2673,8.7996,3.1056,1.0352,0.5176
33.5280,23.0216,9.3405,2.0946,1.5456,0.1299,44.5595,21.2432,2.5907,0.5182,1.0363
33.6804,25.0090,9.4808,2.2600,1.7543,0.1054,40.3726,10.3523,4.1407,1.0352,0.5176
33.8328,21.8346,8.6314,2.0665,1.4916,0.0942,36.7301,20.6931,2.0693,1.0346,2.0693
33.9852,20.7534,8.0457,1.9703,1.4356,0.0791,25.8801,15.5277,1.0353,0.5176,2.0703
34.1376,18.8085,7.4137,1.8540,1.2873,0.0653,30.5384,8.7992,5.1759,1.5528,0.5176
34.2900,20.5452,7.8825,2.0411,1.4305,0.0556,33.6439,10.8698,1.5529,1.0352,0.0000
34.4424,20.0510,7.7090,1.9872,1.3943,0.0561,33.5501,17.0254,4.0060,1.5022,0.5008
34.5948,19.5841,7.4109,1.8886,1.3752,0.0583,26.9151,11.9048,2.5880,1.0352,1.0352
34.7472,18.9258,7.0944,1.8081,1.3366,0.0557,25.8667,11.8988,4.1386,1.5520,1.0346
34.8996,20.5292,7.9528,2.0275,1.4208,0.0624,31.0559,17.0807,3.1056,0.5177,0.5176
35.0520,22.8070,9.6399,2.4180,1.4875,0.0834,31.5475,16.0241,4.0060,3.5052,0.5008
35.2044,23.9693,10.4443,2.6023,1.5280,0.0938,36.2131,18.6239,4.1386,0.5174,2.5866
35.3568,23.9982,10.1033,2.5445,1.5697,0.0854,35.1784,19.1412,3.6213,2.0693,0.5173
35.5092,22.6101,8.4023,2.1730,1.6051,0.0598,33.6438,17.0806,3.1056,1.0352,0.5176
35.6616,20.4460,6.8204,1.7990,1.5393,0.0416,31.6061,12.4353,3.6269,1.5544,2.0725
35.8140,20.4787,6.6320,1.7136,1.5643,0.0475,27.4188,14.4853,1.0347,1.0346,1.0346
35.9664,20.8985,7.2647,1.8285,1.5402,0.0616,37.5186,14.5073,3.0016,0.5003,0.5003
36.1188,21.7761,8.1836,1.9638,1.5356,0.0884,31.5573,17.5890,4.6560,0.5173,0.5173
36.2712,21.5402,8.3653,1.9482,1.4884,0.1021,35.2149,10.8753,4.6608,1.0357,0.5179
36.4236,20.9765,8.4902,1.9020,1.4106,0.1185,36.0000,14.4999,3.5000,0.5000,1.0000
36.5760,21.1813,9.3520,1.9741,1.3364,0.1544,36.7305,9.8294,3.6213,0.0000,1.5520
36.7284,21.6382,9.2447,1.9454,1.4001,0.1538,36.7876,15.0260,2.5907,0.5182,1.5544
