#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
114.1476,85.2642,64.8071,10.4959,2.3111,1.6995,182.9846,64.1563,17.4769,4.6679,4.9708
114.3000,87.7074,66.0868,10.6706,2.4425,1.7394,186.6998,65.4532,22.4221,4.3017,7.2342
114.4524,89.0511,65.2544,10.5635,2.6884,1.7121,195.8120,65.9344,25.5894,3.6250,4.8514
114.6048,88.2853,61.5086,10.0030,3.0250,1.6048,188.0618,70.9529,18.6252,3.0059,1.7345
114.7572,87.6757,58.1554,9.4607,3.3350,1.5167,176.5168,67.7967,21.2030,3.4706,3.1407
114.9096,89.5091,57.8039,9.3468,3.5818,1.5188,195.3128,65.0902,18.7031,2.5470,3.9659
115.0620,94.3831,61.0146,9.7990,3.7697,1.6164,200.5884,70.3601,19.0041,3.8789,5.6679
115.2144,95.5159,61.4568,9.8115,3.8477,1.6396,208.8899,82.8116,22.4923,4.0732,4.3671
115.3668,97.8988,62.5084,9.9788,3.9981,1.6678,197.6261,67.9696,24.9215,4.1823,3.6728
115.5192,97.9449,61.3768,9.8241,4.1312,1.6325,215.9371,81.9689,19.0468,2.6563,3.0900
115.6716,100.1628,61.9343,9.9597,4.3188,1.6381,209.5156,83.9134,18.4320,3.8322,5.9217
115.8240,97.2483,58.0245,9.3886,4.4312,1.5233,209.5305,73.5309,24.4214,6.3007,3.4141
115.9764,95.5851,54.4716,8.9536,4.6447,1.4024,197.9691,67.8365,17.2185,4.4766,3.5380
116.1288,93.3394,52.7755,8.9068,4.5826,1.3129,202.9682,77.5464,12.5706,4.5871,2.4453
116.2812,94.1799,53.8983,9.2892,4.5507,1.3027,194.4536,70.5470,17.4922,8.0700,2.9415
116.4336,91.7256,53.5411,9.3774,4.3138,1.2645,201.5457,73.1011,18.4552,2.7970,3.9629
116.5860,91.4905,52.2425,9.2348,4.4339,1.2170,182.2826,65.4685,20.2850,4.6289,4.1929
116.7384,89.7044,50.6044,9.0100,4.4172,1.1660,204.8741,60.9691,17.5314,4.0918,4.6005
116.8908,92.0859,51.9623,9.1922,4.5329,1.2091,190.7506,66.3988,19.7069,3.6280,3.0861
117.0432,94.1172,52.9164,9.3548,4.6546,1.2325,200.8602,72.6403,18.0118,5.1407,6.2341
117.1956,95.7747,53.1860,9.3553,4.8114,1.2481,213.5611,68.0631,19.1894,6.5682,2.5314
117.3480,95.9592,53.7231,9.4782,4.7715,1.2551,191.0631,77.7655,17.9295,4.0938,5.1445
117.5004,91.5062,50.9997,9.0022,4.5761,1.1906,201.3267,75.7844,14.4609,5.3984,5.4100
117.6528,92.9080,52.0575,9.2849,4.6150,1.1963,178.6659,63.6026,13.8772,4.6254,2.8914
117.8052,91.6168,52.7906,9.3955,4.3863,1.2172,203.9707,70.3972,19.8554,1.8051,9.6265
117.9576,94.8590,56.6734,10.0338,4.3139,1.3171,197.0528,71.6558,16.1804,2.8895,2.8894
118.1100,92.6299,56.9074,9.9944,4.0357,1.3385,196.5150,75.7202,18.0287,5.4085,3.6058
118.2624,93.8575,57.7364,10.0560,4.0807,1.3746,205.8393,60.7118,15.6119,2.8911,4.6257
118.4148,95.7725,59.4334,10.3151,4.1053,1.4222,197.2344,70.9565,23.4519,4.8105,5.4117
118.5672,94.6213,59.1757,10.1407,4.0044,1.4417,205.7192,77.4338,28.3150,3.4673,1.7337
118.7196,96.0589,60.8865,10.3046,3.9735,1.5089,178.1540,70.4189,19.8616,5.4167,3.6113
118.8720,95.1825,60.7344,10.0813,3.8917,1.5442,205.8402,79.7913,20.8151,4.0473,4.6257
119.0244,97.1480,63.0756,10.2813,3.8493,1.6410,212.2657,70.3554,18.6411,3.0069,5.4117
119.1768,94.2428,61.5542,9.9561,3.6929,1.6167,190.6964,79.7454,20.2249,7.5122,2.3116
