#HOLE:,940a
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
85.9536,97.2916,73.6453,11.0724,2.6714,2.1002,202.6266,69.4184,26.2664,0.9381,4.6904
86.1060,92.9550,69.6014,10.2044,2.6383,2.0363,177.6316,89.2857,25.3759,2.8195,2.8195
86.2584,94.3686,70.2490,10.0832,2.7249,2.0980,203.9474,67.6692,15.9774,3.7594,3.7594
86.4108,95.0420,73.8005,10.4259,2.3997,2.2371,223.8946,68.6736,16.9332,6.5851,2.8222
86.5632,93.8215,75.7886,10.6688,2.0372,2.3048,197.5928,83.2497,23.0692,4.0120,3.0090
86.7156,92.6662,77.0441,10.7671,1.7649,2.3585,185.9155,69.4836,23.4742,4.6948,8.4507
86.8680,90.2209,75.1690,10.5146,1.7005,2.2992,216.9014,68.5446,26.2911,0.9390,3.7559
87.0204,90.5751,75.4396,10.5746,1.7099,2.3031,190.6103,76.9953,16.9014,5.6338,4.6948
87.1728,90.0746,75.8080,10.7390,1.6117,2.2921,209.3897,63.8498,17.8404,3.7559,5.6338
87.3252,94.7202,80.4469,11.5223,1.6125,2.4074,211.2676,73.2394,18.7793,6.5728,6.5728
87.4776,97.0621,82.4156,12.0594,1.6547,2.4159,231.0944,81.7285,20.6670,3.7576,4.6970
87.6300,93.9691,77.7987,11.6391,1.8268,2.2301,210.7244,81.8438,19.7554,3.7629,5.6444
87.7824,90.2891,73.3112,11.2590,1.9180,2.0439,183.4431,73.3772,19.7554,1.8815,3.7629
87.9348,89.4118,72.7365,11.3668,1.8839,1.9891,200.0000,72.3005,26.2911,0.9390,2.8169
88.0872,92.1820,76.0974,12.0722,1.8171,2.0454,210.3155,72.1082,24.0361,0.0000,7.0105
88.2396,89.9336,73.2862,11.7044,1.8807,1.9544,223.2645,60.9756,20.6379,0.9381,3.7523
88.3920,90.9565,71.5756,11.4538,2.1895,1.9043,186.0028,68.5768,20.6670,0.9394,3.7576
88.5444,88.1729,67.1124,10.6847,2.3793,1.7964,229.3233,70.4887,15.9774,4.6992,2.8195
88.6968,89.7092,67.9780,10.7281,2.4550,1.8382,178.7394,78.0809,17.8739,2.8222,3.7629
88.8492,87.3405,66.1284,10.2997,2.3964,1.8152,194.7319,69.6143,23.5183,2.8222,5.6444
89.0016,88.6497,67.6119,10.4245,2.3767,1.8769,200.1880,73.3083,15.0376,6.5789,4.6992
89.1540,89.9988,68.4832,10.4621,2.4307,1.9202,193.5181,78.9103,12.2123,2.8182,6.5759
89.3064,88.7500,66.2398,10.1081,2.5430,1.8596,216.9014,61.9718,24.4131,6.5728,0.9390
89.4588,92.4645,65.5179,10.1164,3.0442,1.8159,180.2817,76.9953,15.9624,4.6948,7.5117
89.6112,91.4269,59.5874,9.4763,3.5970,1.5970,227.2300,65.7277,17.8404,7.5117,6.5728
89.7636,94.6315,57.9902,9.4239,4.1395,1.5144,192.6692,71.4286,16.9173,3.7594,2.8195
89.9160,95.7229,54.4623,9.1340,4.6613,1.3662,205.8271,63.9098,23.4962,7.5188,3.7594
90.0684,99.4523,56.1916,9.5685,4.8873,1.3810,229.4589,68.1363,22.0441,1.0020,2.0040
90.2208,97.8034,55.4667,9.5784,4.7829,1.3369,213.3459,73.3083,20.6767,5.6391,3.7594
90.3732,93.2249,54.1102,9.2460,4.4189,1.3236,195.4887,66.7293,19.7368,1.8797,4.6992
90.5256,88.2654,53.0395,8.8737,3.9796,1.3348,187.0301,66.7293,18.7970,6.5789,4.6992
90.6780,89.4430,54.6699,8.8926,3.9284,1.4260,184.2105,67.6692,18.7970,1.8797,4.6992
90.8304,88.9044,57.4080,9.1766,3.5582,1.5293,211.3668,69.5162,16.9093,2.8182,2.8182
90.9828,88.4241,58.6139,9.1834,3.3677,1.5982,185.9155,67.6056,18.7793,6.5728,1.8779
91.1352,84.3752,58.7859,9.0582,2.8909,1.6330,186.8545,62.9108,18.7793,4.6948,1.8779
91.2876,85.2587,61.2755,9.2868,2.7094,1.7328,181.3910,55.4511,19.7368,8.4586,4.6992
91.4400,84.4774,63.5107,9.5710,2.3687,1.8068,192.6687,65.7894,29.1343,2.8198,3.7594
91.5924,89.5434,69.1517,10.4931,2.3037,1.9530,184.2124,63.9104,12.2186,6.5788,3.7596
91.7448,90.5562,71.7197,10.9398,2.1280,2.0143,214.1869,74.2139,20.6675,4.6969,6.5760
91.8972,92.6399,73.4555,11.2158,2.1673,2.0608,206.3790,64.7273,25.3283,3.7523,4.6903
92.0496,91.1871,73.9737,11.1344,1.9446,2.1071,206.7665,53.5728,24.4359,2.8195,1.8800
92.2020,90.5691,74.1347,11.0586,1.8566,2.1314,200.1871,75.1883,20.6768,1.8798,7.5186
92.3544,86.6712,72.2817,10.7551,1.6256,2.0835,185.1491,80.8250,22.5568,3.7595,3.7595
92.5068,84.5461,70.8261,10.6007,1.5500,2.0293,163.5356,46.9936,29.1347,5.6389,5.6390
92.6592,84.7467,72.4024,10.8659,1.3946,2.0687,192.4893,65.7275,18.7793,1.8780,4.6950
92.8116,90.0593,78.4638,11.7684,1.3100,2.2433,209.6842,63.0007,18.8059,2.8209,6.5820
92.9640,91.4863,79.9927,12.0988,1.2985,2.2670,196.2441,81.6895,20.6575,3.7559,5.6339
93.1164,90.6827,79.7479,12.0788,1.2353,2.2567,196.2447,71.3614,24.4127,3.7558,6.5725
93.2688,91.4911,79.7044,12.0314,1.3316,2.2635,205.6335,69.4846,17.8405,1.8780,2.8171
93.4212,93.5787,81.3746,12.1783,1.3787,2.3317,201.1286,86.4654,19.7374,3.7594,5.6390
93.5736,94.2194,82.1532,12.2904,1.3632,2.3549,213.6449,73.4126,29.1764,3.7646,3.7648
93.7260,97.3391,85.3848,12.7742,1.3505,2.4475,178.5736,87.4065,28.1953,1.8799,5.6392
93.8784,97.6443,86.6830,12.9923,1.2383,2.4800,214.8226,94.7451,24.3901,5.6284,7.5045
94.0308,99.5222,87.0201,12.9973,1.4124,2.4986,228.3408,68.1033,22.0333,4.0062,5.0074
94.1832,96.2079,82.2301,12.3872,1.5791,2.3403,200.9397,86.3841,25.3517,6.5726,2.8170
94.3356,93.2569,77.6389,11.6107,1.7644,2.2264,213.5466,71.4951,18.8143,3.7629,4.7037
94.4880,94.9479,77.5064,11.4904,1.9704,2.2424,213.6482,60.2360,12.2358,3.7648,4.7058
94.6404,93.5449,74.5791,10.8520,2.1426,2.1982,232.8442,72.5987,21.2480,5.3120,3.5415
94.7928,92.9187,71.9755,10.3782,2.3660,2.1402,196.4280,75.1880,15.9776,3.7593,4.6991
94.9452,89.1937,66.3640,9.5389,2.5791,1.9793,186.8553,75.1167,17.8405,2.8170,2.8170
95.0976,90.7024,65.1233,9.4088,2.8897,1.9328,201.1274,63.9100,19.7375,3.7594,3.7596
95.2500,94.5117,65.8961,9.6423,3.2328,1.9316,193.5822,68.2042,31.0932,3.0091,7.0210
95.4024,95.7382,66.0510,9.7285,3.3538,1.9236,217.1042,62.0312,30.0745,3.7594,5.6390
95.5548,98.6882,67.1521,9.9686,3.5627,1.9403,199.2496,79.8873,18.7971,3.7594,4.6991
95.7072,96.1126,65.0345,9.7652,3.5110,1.8571,223.6826,81.7658,20.6766,3.7596,2.8197
95.8596,94.2319,62.6824,9.5279,3.5642,1.7671,198.3076,63.9097,19.7375,6.5787,5.6389
96.0120,93.1378,61.6689,9.2902,3.5551,1.7550,188.0594,62.0603,30.0889,1.8808,2.8210
96.1644,94.8559,62.9904,9.3863,3.5999,1.8130,206.2857,79.6810,23.9042,5.3120,4.4266
96.3168,96.8375,65.6199,9.5504,3.5267,1.9337,201.8781,75.1174,21.5962,4.6947,2.8168
96.4692,96.0513,68.1642,9.8321,3.1505,2.0262,203.9464,75.1888,21.6166,2.8199,0.9402
96.6216,94.9283,70.6761,10.0785,2.7398,2.1238,188.4713,89.2221,23.0578,9.0224,6.0148
96.7740,97.2645,73.2156,10.5013,2.7169,2.1881,191.0603,73.4119,26.3529,6.5880,2.8237
96.9264,99.7710,73.1311,10.5902,3.0096,2.1656,215.2259,76.1280,25.3758,2.8197,5.6392
97.0788,99.5022,70.4448,10.2479,3.2827,2.0768,220.6557,79.8119,22.5348,4.6949,7.5115
97.2312,99.5764,69.3143,10.0554,3.4188,2.0490,194.3674,75.1177,15.0236,5.6338,3.7559
97.3836,94.9098,66.1747,9.5682,3.2463,1.9625,213.3447,80.8260,17.8573,5.6391,4.6992
97.5360,96.7089,66.3691,9.7249,3.4276,1.9428,194.5486,62.9707,19.7375,5.6390,3.7593
97.6884,95.2676,66.5337,9.8679,3.2461,1.9242,190.1182,75.2939,30.1171,4.7059,1.8826
97.8408,95.6085,67.7823,10.2174,3.1436,1.9278,199.4356,72.4358,20.6964,4.7034,6.5849
97.9932,95.3982,70.3024,10.7424,2.8351,1.9708,200.1869,61.0917,24.4362,0.9398,2.8198
98.1456,96.8659,74.5373,11.4261,2.5225,2.0822,182.3328,84.5858,26.3158,0.9400,6.5790
98.2980,97.4135,78.9182,12.0431,2.0895,2.2154,215.0225,74.1789,26.2905,2.8170,7.5115
98.4504,94.1296,79.1344,11.9913,1.6941,2.2382,198.4010,82.7448,15.9850,3.7611,3.7611
98.6028,90.5788,76.3085,11.5497,1.6121,2.1610,190.2857,69.1037,16.0245,3.0046,3.0046
98.7552,91.3375,76.7238,11.5178,1.6509,2.1914,194.5489,69.5500,23.4963,3.7595,4.6991
98.9076,92.2689,77.7648,11.4772,1.6386,2.2601,195.4878,87.4064,24.4353,4.6992,1.8800
