#HOLE:,940A
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg
91.4400,0.2611,0.1536,0.0846,0.3148,5.0919,20.6687,134.8351,310.7929,176.0710
91.5924,0.2602,0.1552,0.0849,0.3148,5.0940,20.6540,134.6199,310.5912,176.0847
91.7448,0.2563,0.1618,0.0848,0.3147,5.0992,20.6410,133.4967,309.4532,176.0699
91.8972,0.2507,0.1698,0.0851,0.3147,5.1019,20.6210,131.8278,307.8069,176.0921
92.0496,0.2368,0.1881,0.0848,0.3146,5.0978,20.5933,129.5550,305.5615,176.1180
92.2020,0.2038,0.2241,0.0850,0.3146,5.1013,20.5715,119.9337,295.9009,176.0655
92.3544,0.1859,0.2390,0.0848,0.3146,5.1076,20.5517,114.7207,290.6795,176.0452
92.5068,0.1846,0.2401,0.0845,0.3145,5.1131,20.5343,112.9441,288.8405,175.9783
92.6592,0.1840,0.2404,0.0845,0.3145,5.1160,20.5197,112.8171,288.6804,175.9449
92.8116,0.1830,0.2417,0.0841,0.3145,5.1177,20.5081,111.9262,287.7191,175.8720
92.9640,0.1907,0.2354,0.0840,0.3144,5.1214,20.4984,113.4873,289.2167,175.8131
93.1164,0.2011,0.2266,0.0840,0.3144,5.1179,20.4795,116.0000,291.6964,175.7865
93.2688,0.1934,0.2330,0.0841,0.3144,5.1191,20.4657,116.6001,292.2037,175.6951
93.4212,0.1864,0.2388,0.0839,0.3143,5.1281,20.4585,113.7633,289.3309,175.6523
93.5736,0.1811,0.2428,0.0838,0.3143,5.1305,20.4426,112.7744,288.2998,175.6074
93.7260,0.1781,0.2449,0.0838,0.3143,5.1297,20.4246,111.8270,287.3556,175.6078
93.8784,0.1808,0.2431,0.0833,0.3142,5.1314,20.4105,111.8029,287.3015,175.5779
94.0308,0.1807,0.2431,0.0834,0.3142,5.1364,20.3983,112.3307,287.7930,175.5431
94.1832,0.1810,0.2430,0.0834,0.3142,5.1424,20.3896,112.3602,287.8021,175.5231
94.3356,0.1792,0.2441,0.0833,0.3142,5.1403,20.3732,112.1746,287.6040,175.5100
94.4880,0.1770,0.2457,0.0837,0.3141,5.1357,20.3601,112.0026,287.3790,175.4563
94.6404,0.1691,0.2509,0.0834,0.3141,5.1352,20.3472,109.7364,285.0957,175.4324
94.7928,0.1746,0.2474,0.0830,0.3141,5.1346,20.3327,111.2419,286.5715,175.4073
94.9452,0.1753,0.2471,0.0830,0.3140,5.1314,20.3180,111.2741,286.5811,175.3846
95.0976,0.1758,0.2464,0.0831,0.3140,5.1358,20.3131,111.2501,286.5381,175.3658
95.2500,0.1768,0.2461,0.0828,0.3140,5.1388,20.3064,111.3920,286.6670,175.3532
95.4024,0.1775,0.2458,0.0829,0.3140,5.1448,20.3060,111.6658,286.9443,175.3577
