Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Treatment	Level 	Demag Type	Level	 Decl.	 Incl.	Intensity	Hole Incl.	Intensity X	Intensity Y	Intensity Z	Run   	Comment
155	 940	A	  2	H	 5	  30.00	       9.100	NRM      	      	AFD       	   20	 58.60	-12.10	1.484E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  35.00	       9.150	NRM      	      	AFD       	   20	 61.40	-10.40	1.975E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  40.00	       9.200	NRM      	      	AFD       	   20	 61.10	 -9.80	2.054E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  45.00	       9.250	NRM      	      	AFD       	   20	 61.10	 -9.30	2.003E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  50.00	       9.300	NRM      	      	AFD       	   20	 63.50	 -8.50	1.993E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  55.00	       9.350	NRM      	      	AFD       	   20	 65.20	 -9.90	1.934E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  60.00	       9.400	NRM      	      	AFD       	   20	 65.60	-12.10	1.853E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  65.00	       9.450	NRM      	      	AFD       	   20	 64.70	-12.80	1.842E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  70.00	       9.500	NRM      	      	AFD       	   20	 63.80	-14.20	1.678E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  75.00	       9.550	NRM      	      	AFD       	   20	 62.90	-14.30	1.612E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  80.00	       9.600	NRM      	      	AFD       	   20	 62.40	-15.50	1.545E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  85.00	       9.650	NRM      	      	AFD       	   20	 62.70	-15.30	1.722E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  90.00	       9.700	NRM      	      	AFD       	   20	 60.60	-16.60	1.794E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  95.00	       9.750	NRM      	      	AFD       	   20	 60.10	-15.70	1.968E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 100.00	       9.800	NRM      	      	AFD       	   20	 61.10	-14.60	1.925E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 105.00	       9.850	NRM      	      	AFD       	   20	 61.30	-16.20	1.598E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 110.00	       9.900	NRM      	      	AFD       	   20	 58.50	-21.40	1.152E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 115.00	       9.950	NRM      	      	AFD       	   20	 55.80	-19.10	1.180E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 120.00	      10.000	NRM      	      	AFD       	   20	 59.20	-12.50	1.682E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 125.00	      10.050	NRM      	      	AFD       	   20	 59.70	 -9.10	1.900E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 130.00	      10.100	NRM      	      	AFD       	   20	 57.80	 -7.90	1.821E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 135.00	      10.150	NRM      	      	AFD       	   20	 58.80	 -6.10	1.871E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	 140.00	      10.200	NRM      	      	AFD       	   20	 62.20	 -4.20	1.766E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 6	   0.00	      10.300	NRM      	      	AFD       	   20	 54.90	 -7.20	1.001E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	   5.00	      10.350	NRM      	      	AFD       	   20	 59.00	 -6.00	2.133E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  10.00	      10.400	NRM      	      	AFD       	   20	 55.80	 -6.70	2.363E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  15.00	      10.450	NRM      	      	AFD       	   20	 55.80	 -6.70	2.180E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  20.00	      10.500	NRM      	      	AFD       	   20	 57.30	 -6.80	2.094E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  25.00	      10.550	NRM      	      	AFD       	   20	 56.70	 -7.50	1.953E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  30.00	      10.600	NRM      	      	AFD       	   20	 54.80	 -8.80	1.700E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  35.00	      10.650	NRM      	      	AFD       	   20	 55.10	 -8.20	1.636E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  40.00	      10.700	NRM      	      	AFD       	   20	 54.40	 -7.60	1.654E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  45.00	      10.750	NRM      	      	AFD       	   20	 54.40	 -7.90	1.682E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  50.00	      10.800	NRM      	      	AFD       	   20	 55.40	 -8.80	1.740E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  55.00	      10.850	NRM      	      	AFD       	   20	 56.30	-10.70	1.629E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  60.00	      10.900	NRM      	      	AFD       	   20	 55.50	-13.50	1.488E+01	          	           	           	           	  1846	
155	 940	A	  2	H	 6	  65.00	      10.950	NRM      	      	AFD       	   20	 55.90	-14.30	1.545E+01	          	           	           	           	  1846	
